YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,State,District,Latitude,Longitude
2001,135,33,0,22,0,22,46,13,33,32,0,49,114,214,18,196,240,0,31,0,0,515,23,0,4,29,0,102,1217,2806,Bihar,Bhojpur,25.50666439393939,84.49407803030304
2001,56,38,0,8,0,8,34,1,33,49,0,34,76,179,5,174,189,0,57,0,18,39,15,0,0,0,0,82,800,1674,Bihar,Buxar,25.48593018867924,84.08808081760995
2001,53,64,4,19,0,19,39,16,23,29,0,37,65,103,8,95,142,39,31,38,17,0,37,40,0,34,0,66,1715,2572,Bihar,Darbhanga,26.146187719298258,85.97387352472099
2001,200,170,7,25,0,25,66,15,51,100,1,114,149,416,50,366,417,57,79,0,23,292,26,27,0,24,0,127,862,3182,Bihar,Gaya,24.7266541547278,84.94291217765044
2001,107,92,4,13,0,13,59,18,41,32,7,73,81,153,25,128,227,45,75,0,6,42,22,0,2,155,0,96,807,2098,Bihar,Gopalganj,26.44874364161851,84.34636127167629
2001,67,74,3,10,0,10,14,1,13,22,1,14,40,81,1,80,134,10,7,1,1,225,16,8,0,15,0,14,289,1046,Bihar,Jamui,24.78418380462726,86.26316298200514
2001,73,80,2,6,0,6,35,5,30,15,2,22,53,121,10,111,170,0,51,0,0,0,25,0,0,4,0,0,694,1353,Bihar,Jehanabad,25.155679045643165,84.9208124481328
2001,60,47,2,51,0,51,49,20,29,49,0,30,49,146,13,133,193,26,23,5,1,64,6,6,0,29,0,71,904,1811,Bihar,Katihar,25.56565356037151,87.70466083591326
2001,72,27,2,5,0,5,34,6,28,6,3,29,17,86,7,79,167,4,6,0,1,5,11,6,0,2,0,59,353,895,Bihar,Khagaria,25.53558891454964,86.56593256351037
2001,25,15,1,22,0,22,23,16,7,19,0,10,34,57,10,47,116,15,5,0,8,4,4,2,1,39,0,16,481,897,Bihar,Kishanganj,26.324336758321294,87.95045007235886
2001,61,44,5,10,0,10,30,7,23,9,0,13,25,79,3,76,93,5,6,0,4,9,6,12,0,5,0,33,305,754,Bihar,Lakhisarai,25.183449321266963,86.12825701357468
2001,56,23,7,11,0,11,49,15,34,17,1,31,13,69,16,53,157,11,17,1,8,4,6,3,0,10,0,18,550,1062,Bihar,Madhepura,25.77341929460581,86.8978443983403
2001,35,65,5,13,0,13,36,11,25,24,0,17,86,98,0,98,195,11,9,0,4,615,12,41,0,18,0,110,1503,2897,Bihar,Madhubani,26.41380538172716,86.16328360450552
2001,51,108,0,11,0,11,45,15,30,6,0,29,57,157,17,140,218,0,29,0,12,173,8,0,0,39,0,28,787,1758,Bihar,Munger,25.198537962962963,86.54173672839504
2001,153,162,21,73,0,73,113,25,88,32,14,135,118,538,104,434,241,67,94,1,42,103,69,81,0,141,6,141,1867,4212,Bihar,Muzaffarpur,26.18664417177915,85.32745092024543
2001,208,249,18,40,0,40,126,12,114,51,5,97,92,412,14,398,318,19,34,3,13,611,47,14,2,54,0,60,1006,3479,Bihar,Nalanda,25.229345508982053,85.48053113772461
2001,434,581,30,27,0,27,197,11,186,91,31,414,426,1568,399,1169,506,196,331,12,54,354,90,47,0,152,39,178,2825,8583,Bihar,Patna,25.40297114503818,85.3198433587787
2001,127,112,4,25,0,25,72,18,54,78,6,68,144,317,51,266,391,37,52,2,27,472,36,21,0,59,0,376,535,2961,Bihar,Rohtas,24.99170460829495,83.9350762672811
2001,36,151,3,12,0,12,27,10,17,3,0,15,24,56,6,50,156,22,25,0,6,229,7,9,0,12,0,29,244,1066,Bihar,Saharsa,25.821270696721303,86.54670819672135
2001,107,115,20,19,0,19,75,29,46,33,15,61,94,247,26,221,312,39,33,0,45,255,11,17,9,35,29,21,1261,2853,Bihar,Samastipur,25.793205563909765,85.94833323308269
