Dist Code,Year,State Code,State Name,Dist Name,PRIMARY SECTOR CONSTANT PRICES (in Millions Rs),PRIMARY SECTOR CURRENT PRICES (in Million Rs),PRIMARY SECTOR CONSTANT SHARES (Percent),PRIMARY SECTOR CURRENT SHARES (Percent),SECONDARY SECTOR CONSTANT PRICES (Millions in Rs),SECONDARY SECTOR CURRENT PRICES (Millions in Rs),SECONDARY SECTOR CONSTANT SHARES (Percent),SECONDARY SECTOR CURRENT SHARES (Percent),TERTIARY SECTOR CONSTANT PRICES (Millions in Rs),TERTIARY SECTOR CURRENT PRICES (Millions in Rs),TERTIARY SECTOR CONSTANT SHARES (Percent),TERTIARY SECTOR CURRENT SHARES (Percent),Total Constant Prices (in Millions Rs),Total Current Prices (in Millions Rs),Per Capita Current Prices (1000 in Rs),State,District,Latitude,Longitude
28,2011 (2004),6,Madhya Pradesh,Indore,20518,36257,8.37,9.66,108876,162784,44.41,43.38,115745,176199,47.22,46.96,245139,375240,115,Madhya Pradesh,Indore,22.680265752128648,75.9133801324502
28,2012 (2004),6,Madhya Pradesh,Indore,25003,48970,9.44,11.16,115184,184442,43.51,42.04,124547,205330,47.05,46.8,264733,438742,130,Madhya Pradesh,Indore,22.680265752128648,75.9133801324502
28,2013 (2004),6,Madhya Pradesh,Indore,31592,70607,11.03,13.94,117550,196974,41.06,38.89,137159,238860,47.91,47.16,286300,506440,146,Madhya Pradesh,Indore,22.680265752128648,75.9133801324502
29,2007 (2004),6,Madhya Pradesh,Ratlam,9685,11596,30.21,30.4,8017,9512,25.0,24.94,14362,17034,44.79,44.66,32064,38142,28,Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909
29,2008 (2004),6,Madhya Pradesh,Ratlam,10882,14567,30.31,31.34,9608,12266,26.76,26.39,15412,19641,42.93,42.26,35901,46474,34,Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909
29,2009 (2004),6,Madhya Pradesh,Ratlam,10913,16095,28.35,30.57,10343,13654,26.87,25.94,17233,22896,44.77,43.49,38490,52645,38,Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909
29,2010 (2004),6,Madhya Pradesh,Ratlam,8286,13623,21.89,24.26,11035,15568,29.15,27.72,18529,26967,48.95,48.02,37850,56159,39,Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909
29,2011 (2004),6,Madhya Pradesh,Ratlam,10400,18409,25.11,27.6,11390,17274,27.5,25.89,19624,31025,47.38,46.51,41414,66709,46,Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909
29,2012 (2004),6,Madhya Pradesh,Ratlam,13066,25613,28.49,31.67,11951,19249,26.06,23.8,20850,36025,45.46,44.54,45867,80887,55,Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909
29,2013 (2004),6,Madhya Pradesh,Ratlam,17024,38019,32.85,37.92,12085,20605,23.32,20.55,22714,41646,43.83,41.53,51823,100270,66,Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909
30,2007 (2004),6,Madhya Pradesh,Ujjain,12539,15013,26.21,26.44,13528,16046,28.28,28.26,21765,25727,45.5,45.31,47832,56786,30,Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058
30,2008 (2004),6,Madhya Pradesh,Ujjain,13814,18490,25.89,26.89,16144,20605,30.26,29.96,23390,29672,43.85,43.15,53347,68766,36,Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058
30,2009 (2004),6,Madhya Pradesh,Ujjain,16213,23906,27.33,29.64,17145,22623,28.9,28.05,25966,34115,43.77,42.3,59324,80643,42,Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058
30,2010 (2004),6,Madhya Pradesh,Ujjain,14082,23143,23.44,26.16,18216,25726,30.33,29.08,27766,39613,46.23,44.77,60064,88481,45,Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058
30,2011 (2004),6,Madhya Pradesh,Ujjain,17637,31184,27.27,30.16,17305,26352,26.76,25.49,29723,45850,45.96,44.35,64665,103386,52,Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058
30,2012 (2004),6,Madhya Pradesh,Ujjain,22100,43296,30.72,34.41,18184,29460,25.28,23.41,31647,53078,44.0,42.18,71931,125833,62,Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058
30,2013 (2004),6,Madhya Pradesh,Ujjain,28715,64164,35.18,40.87,18434,31678,22.58,20.18,34472,61168,42.23,38.96,81621,157009,77,Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058
31,2007 (2004),6,Madhya Pradesh,Mandsaur,9611,11507,36.97,37.14,4659,5562,17.92,17.95,11728,13917,45.11,44.92,25997,30985,24,Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759
31,2008 (2004),6,Madhya Pradesh,Mandsaur,11617,15553,38.82,39.85,5634,7268,18.83,18.62,12676,16204,42.36,41.52,29927,39026,30,Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759
31,2009 (2004),6,Madhya Pradesh,Mandsaur,14389,21223,41.15,43.56,6258,8402,17.89,17.25,14325,19092,40.96,39.19,34971,48717,37,Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759
31,2010 (2004),6,Madhya Pradesh,Mandsaur,11892,19552,34.67,37.55,6758,9737,19.7,18.7,15646,22776,45.62,43.75,34296,52065,39,Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759
31,2011 (2004),6,Madhya Pradesh,Mandsaur,14932,26418,38.64,41.46,6791,10485,17.57,16.45,16920,26821,43.79,42.09,38642,63724,48,Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759
31,2012 (2004),6,Madhya Pradesh,Mandsaur,18766,36774,42.38,45.76,7121,11669,16.08,14.52,18394,31922,41.54,39.72,44281,80365,59,Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759
31,2013 (2004),6,Madhya Pradesh,Mandsaur,24458,54638,47.18,52.31,7300,12858,14.08,12.31,20082,36964,38.74,35.39,51839,104460,76,Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759
